,forecast
2026-07-23,4396.369644586345
2026-07-24,4337.637480327226
2026-07-25,4303.738544283479
2026-07-26,4272.061811840872
2026-07-27,4238.663193410071
2026-07-28,4207.188849802162
2026-07-29,4174.264658485962
2026-07-30,4143.009631093686
2026-07-31,4110.537228753896
2026-08-01,4079.515510889306
2026-08-02,4047.4750468123307
2026-08-03,4016.6981269601533
2026-08-04,3985.0721400700254
2026-08-05,3954.5493690311273
2026-08-06,3923.3224475458387
2026-08-07,3893.0613524590076
2026-08-08,3862.219842687693
2026-08-09,3832.2263956086686
2026-08-10,3801.758152787246
2026-08-11,3772.0370003939865
2026-08-12,3741.9311754834453
2026-08-13,3712.4858355271094
2026-08-14,3682.7326927768568
2026-08-15,3653.565722085727
2026-08-16,3624.1564829156646
2026-08-17,3595.269621064368
2026-08-18,3566.196330462057
2026-08-19,3537.5906226240354
2026-08-20,3508.846034803083
2026-08-21,3480.5219367957557
