,ACF
0,1.0
1,0.009013522831662502
2,0.026475833295573677
3,-0.1159843285032623
4,-0.16076509348230253
5,0.007268332670269736
6,0.1504532012789693
7,0.21803370172803188
8,0.1168645482117461
9,-0.007456076861432016
10,-0.15417015358246097
11,-0.13346818758980317
12,-0.041798924551974904
13,0.12687085710942592
14,0.18643944662379464
15,0.11194578328263885
16,-0.03159104542304742
17,-0.17984951721026163
18,-0.1406817779083994
19,-0.052173915723035875
20,0.12412386933417878
21,0.17595186334172264
22,0.12768823968312795
23,-0.026464359447204003
24,-0.16601975018643758
25,-0.17833502993828484
26,-0.016018853285347582
27,0.13656572678288867
28,0.1875411496205253
29,0.1316240431811137
30,-0.019075673518071476
31,-0.13698503918870825
32,-0.1597200551068075
33,-0.03486552244247725
